order_id,customer_id,product_id,product_name,order_date,quantity,unit_price,total_amount,status,region,customer_segment
O00047,C2087,P006,Mouse,2024-11-16,2,29.99,59.98,Refunded,South,Basic
O00048,C2295,P005,Keyboard,2024-10-22,4,79.99,319.96,Completed,North,Standard
O00049,C1300,P010,Charger,2024-09-28,1,49.99,49.99,Pending,Central,Standard
O00050,C4601,P006,Mouse,2023-05-16,1,29.99,29.99,Pending,East,Standard
O00051,C3881,P008,Webcam,2023-06-11,5,89.99,449.95,Cancelled,Central,Basic
O00052,C2226,P001,Laptop,2024-06-25,5,999.99,4999.95,Completed,South,Standard
O00053,C1636,P002,Smartphone,2023-04-29,5,699.99,3499.95,Cancelled,East,Basic
O00054,C3815,P006,Mouse,2023-08-04,2,29.99,59.98,Cancelled,Central,Standard
O00055,C3598,P001,Laptop,2023-09-15,1,999.99,999.99,Refunded,East,Premium
O00056,C3609,P006,Mouse,2023-01-04,2,29.99,59.98,Cancelled,South,Basic
O00057,C3297,P009,Speaker,2024-03-28,4,199.99,799.96,Completed,North,Premium
O00058,C1147,P003,Tablet,2024-12-08,5,399.99,1999.95,Cancelled,Central,Basic
O00059,C1171,P007,Monitor,2023-06-01,2,299.99,599.98,Cancelled,East,Premium
O00060,C3731,P004,Headphones,2024-01-02,2,149.99,299.98,Completed,East,Basic
O00061,C4791,P010,Charger,2024-02-21,2,49.99,99.98,Pending,South,Premium
O00062,C4016,P001,Laptop,2024-02-27,2,999.99,1999.98,Cancelled,West,Basic
O00063,C4225,P005,Keyboard,2023-09-12,2,79.99,159.98,Completed,West,Premium
O00064,C4344,P004,Headphones,2024-04-26,2,149.99,299.98,Refunded,East,Standard
O00065,C3703,P004,Headphones,2023-08-22,1,149.99,149.99,Pending,West,Standard
O00066,C2438,P002,Smartphone,2023-10-13,3,699.99,2099.97,Refunded,Central,Standard
O00067,C1731,P002,Smartphone,2023-01-29,3,699.99,2099.97,Cancelled,North,Premium
O00068,C3984,P007,Monitor,2024-09-02,3,299.99,899.97,Cancelled,West,Basic
O00069,C4684,P002,Smartphone,2024-06-07,4,699.99,2799.96,Pending,East,Premium
O00070,C3129,P007,Monitor,2024-12-26,1,299.99,299.99,Pending,East,Standard
O00071,C2285,P006,Mouse,2023-03-13,5,29.99,149.95,Completed,East,Basic
O00072,C2648,P007,Monitor,2023-11-13,3,299.99,899.97,Cancelled,Central,Premium
O00073,C3774,P007,Monitor,2023-07-16,4,299.99,1199.96,Pending,Central,Basic
O00074,C4414,P007,Monitor,2023-11-05,5,299.99,1499.95,Completed,East,Standard
O00075,C3484,P007,Monitor,2023-08-04,5,299.99,1499.95,Cancelled,West,Standard
O00076,C2938,P004,Headphones,2024-03-28,5,149.99,749.95,Pending,North,Standard
O00077,C1382,P010,Charger,2024-06-11,3,49.99,149.97,Pending,East,Premium
O00078,C1189,P003,Tablet,2023-07-23,1,399.99,399.99,Pending,West,Basic
O00079,C4629,P008,Webcam,2023-03-16,4,89.99,359.96,Pending,West,Standard
O00080,C3687,P004,Headphones,2024-02-14,2,149.99,299.98,Completed,North,Standard
O00081,C2902,P003,Tablet,2023-08-13,5,399.99,1999.95,Completed,Central,Premium
O00082,C4282,P008,Webcam,2023-05-05,2,89.99,179.98,Refunded,Central,Basic
O00083,C3509,P006,Mouse,2024-09-01,4,29.99,119.96,Refunded,Central,Standard
O00084,C2061,P008,Webcam,2023-06-12,4,89.99,359.96,Pending,East,Basic
O00085,C2801,P004,Headphones,2024-05-11,3,149.99,449.97,Completed,East,Premium
O00086,C4657,P006,Mouse,2023-10-06,3,29.99,89.97,Completed,South,Premium
O00087,C3893,P007,Monitor,2023-08-25,2,299.99,599.98,Pending,North,Standard
O00088,C2908,P006,Mouse,2024-02-22,5,29.99,149.95,Refunded,North,Premium
O00089,C4875,P007,Monitor,2024-03-06,5,299.99,1499.95,Completed,Central,Standard
O00090,C2223,P001,Laptop,2024-05-03,3,999.99,2999.97,Refunded,West,Basic
O00091,C2999,P010,Charger,2024-07-13,2,49.99,99.98,Pending,East,Standard
O00092,C2376,P001,Laptop,2024-05-12,4,999.99,3999.96,Refunded,South,Standard
O00093,C1110,P010,Charger,2023-05-11,5,49.99,249.95,Refunded,Central,Basic
O00094,C3632,P001,Laptop,2024-11-09,1,999.99,999.99,Refunded,South,Standard
O00095,C2552,P001,Laptop,2023-07-06,3,999.99,2999.97,Cancelled,South,Standard
O00096,C2139,P006,Mouse,2023-12-01,4,29.99,119.96,Refunded,East,Premium
O00097,C1213,P001,Laptop,2024-04-26,5,999.99,4999.95,Cancelled,South,Basic
O00098,C4889,P001,Laptop,2023-03-12,1,999.99,999.99,Pending,South,Premium
O00099,C1517,P003,Tablet,2024-09-28,2,399.99,799.98,Refunded,North,Basic
O00100,C4141,P008,Webcam,2023-08-12,3,89.99,269.97,Cancelled,South,Basic
O00101,C4951,P002,Smartphone,2024-09-13,2,699.99,1399.98,Cancelled,North,Basic
O00102,C3774,P005,Keyboard,2023-01-27,5,79.99,399.95,Refunded,West,Basic
O00103,C3828,P002,Smartphone,2023-07-23,5,699.99,3499.95,Pending,North,Basic
O00104,C4261,P010,Charger,2023-11-05,1,49.99,49.99,Completed,East,Basic
O00105,C3072,P006,Mouse,2024-03-14,1,29.99,29.99,Cancelled,North,Standard
O00106,C4935,P002,Smartphone,2024-05-16,4,699.99,2799.96,Cancelled,West,Basic
O00107,C4005,P007,Monitor,2023-06-06,2,299.99,599.98,Cancelled,Central,Basic
O00108,C4382,P008,Webcam,2024-05-10,4,89.99,359.96,Cancelled,East,Premium
O00109,C1998,P005,Keyboard,2023-03-30,4,79.99,319.96,Refunded,Central,Basic
O00110,C1117,P007,Monitor,2024-11-15,3,299.99,899.97,Refunded,East,Premium
O00111,C4267,P004,Headphones,2024-05-14,3,149.99,449.97,Cancelled,East,Standard
O00112,C1041,P005,Keyboard,2024-09-02,5,79.99,399.95,Pending,North,Premium
O00113,C4105,P008,Webcam,2024-02-21,5,89.99,449.95,Pending,West,Basic
O00114,C4247,P008,Webcam,2024-12-29,4,89.99,359.96,Completed,North,Standard
O00115,C2254,P007,Monitor,2023-08-15,2,299.99,599.98,Cancelled,West,Basic
O00116,C4055,P006,Mouse,2024-06-27,4,29.99,119.96,Cancelled,East,Basic
O00117,C2029,P005,Keyboard,2024-04-09,3,79.99,239.97,Pending,North,Basic
O00118,C4042,P006,Mouse,2023-07-17,1,29.99,29.99,Pending,South,Premium
O00119,C5000,P005,Keyboard,2024-05-10,5,79.99,399.95,Cancelled,North,Premium
O00120,C1734,P004,Headphones,2023-10-31,3,149.99,449.97,Cancelled,North,Basic
O00121,C1186,P003,Tablet,2024-06-30,3,399.99,1199.97,Completed,Central,Standard
O00122,C1420,P003,Tablet,2024-12-15,4,399.99,1599.96,Completed,Central,Standard
O00123,C2395,P008,Webcam,2024-04-25,4,89.99,359.96,Pending,North,Standard
O00124,C2641,P002,Smartphone,2024-05-04,1,699.99,699.99,Refunded,North,Basic
O00125,C1611,P001,Laptop,2024-10-06,2,999.99,1999.98,Cancelled,North,Premium
O00126,C3483,P009,Speaker,2023-05-02,4,199.99,799.96,Pending,Central,Standard
O00127,C4523,P008,Webcam,2024-04-06,3,89.99,269.97,Refunded,East,Basic
O00128,C4932,P001,Laptop,2024-09-27,5,999.99,4999.95,Completed,South,Basic
O00129,C1643,P005,Keyboard,2023-08-05,1,79.99,79.99,Pending,South,Basic
O00130,C2673,P003,Tablet,2023-03-18,1,399.99,399.99,Refunded,Central,Standard
O00131,C2180,P001,Laptop,2023-10-26,2,999.99,1999.98,Cancelled,West,Premium
O00132,C4226,P004,Headphones,2024-12-04,3,149.99,449.97,Pending,West,Premium
O00133,C4720,P004,Headphones,2024-07-11,2,149.99,299.98,Cancelled,South,Premium
O00134,C3437,P003,Tablet,2023-03-03,3,399.99,1199.97,Cancelled,West,Premium
O00135,C4861,P005,Keyboard,2024-04-24,4,79.99,319.96,Cancelled,Central,Basic
O00136,C3449,P008,Webcam,2024-05-20,1,89.99,89.99,Completed,West,Basic
O00137,C1105,P010,Charger,2023-11-27,3,49.99,149.97,Completed,South,Basic
O00138,C4132,P010,Charger,2024-08-12,1,49.99,49.99,Cancelled,Central,Premium
O00139,C3668,P008,Webcam,2023-06-29,5,89.99,449.95,Refunded,East,Premium
O00140,C4969,P007,Monitor,2024-08-22,4,299.99,1199.96,Completed,West,Standard
O00141,C3744,P006,Mouse,2024-02-23,3,29.99,89.97,Completed,South,Standard
O00142,C3713,P008,Webcam,2024-02-26,3,89.99,269.97,Refunded,Central,Premium
O00143,C2033,P002,Smartphone,2024-04-10,3,699.99,2099.97,Cancelled,North,Standard
O00144,C2892,P001,Laptop,2024-06-10,5,999.99,4999.95,Refunded,North,Premium
O00145,C4098,P006,Mouse,2024-06-14,5,29.99,149.95,Refunded,West,Premium
O00146,C1536,P005,Keyboard,2023-07-28,5,79.99,399.95,Cancelled,West,Basic
O00147,C4986,P002,Smartphone,2024-05-11,1,699.99,699.99,Pending,South,Standard
O00148,C2671,P001,Laptop,2024-07-18,5,999.99,4999.95,Completed,South,Premium
O00149,C3041,P002,Smartphone,2024-04-17,2,699.99,1399.98,Cancelled,Central,Basic
O00150,C2934,P007,Monitor,2023-10-07,4,299.99,1199.96,Pending,West,Basic
O00151,C4775,P007,Monitor,2023-05-29,2,299.99,599.98,Pending,North,Standard
O00152,C2094,P006,Mouse,2024-02-29,5,29.99,149.95,Completed,East,Basic
O00153,C3703,P010,Charger,2023-11-02,5,49.99,249.95,Refunded,South,Standard
O00154,C2361,P008,Webcam,2024-07-05,3,89.99,269.97,Refunded,West,Standard
O00155,C2568,P004,Headphones,2023-07-13,5,149.99,749.95,Pending,West,Premium
O00156,C2581,P008,Webcam,2023-11-22,4,89.99,359.96,Pending,West,Premium
O00157,C2359,P009,Speaker,2023-05-10,5,199.99,999.95,Completed,West,Premium
O00158,C3959,P008,Webcam,2024-06-22,1,89.99,89.99,Pending,West,Basic
O00159,C4201,P002,Smartphone,2023-06-08,4,699.99,2799.96,Cancelled,East,Basic
O00160,C4488,P007,Monitor,2024-12-10,1,299.99,299.99,Cancelled,Central,Standard
O00161,C1147,P008,Webcam,2023-11-21,5,89.99,449.95,Completed,South,Basic
O00162,C4058,P005,Keyboard,2024-12-01,2,79.99,159.98,Completed,West,Premium
O00163,C1681,P002,Smartphone,2024-10-10,4,699.99,2799.96,Cancelled,North,Premium
O00164,C2468,P001,Laptop,2023-11-29,3,999.99,2999.97,Cancelled,West,Premium
O00165,C3318,P009,Speaker,2023-09-08,4,199.99,799.96,Pending,South,Premium
O00166,C3538,P010,Charger,2023-03-22,4,49.99,199.96,Pending,West,Basic
O00167,C3612,P004,Headphones,2023-05-27,4,149.99,599.96,Cancelled,West,Standard
O00168,C4691,P001,Laptop,2024-11-13,4,999.99,3999.96,Cancelled,Central,Premium
O00169,C3406,P008,Webcam,2023-03-17,3,89.99,269.97,Cancelled,West,Basic
O00170,C1815,P008,Webcam,2023-09-14,3,89.99,269.97,Refunded,West,Premium
O00171,C2470,P007,Monitor,2023-08-31,5,299.99,1499.95,Cancelled,East,Premium
O00172,C1033,P007,Monitor,2024-11-05,3,299.99,899.97,Completed,Central,Basic
O00173,C3486,P005,Keyboard,2024-05-23,2,79.99,159.98,Cancelled,South,Basic
O00174,C3776,P010,Charger,2023-07-14,3,49.99,149.97,Pending,North,Basic
O00175,C4230,P001,Laptop,2024-10-23,3,999.99,2999.97,Refunded,North,Basic
O00176,C4725,P003,Tablet,2024-01-09,1,399.99,399.99,Cancelled,East,Basic
O00177,C1541,P003,Tablet,2024-03-01,2,399.99,799.98,Cancelled,Central,Basic
O00178,C4743,P003,Tablet,2023-10-07,3,399.99,1199.97,Refunded,East,Basic
O00179,C4944,P002,Smartphone,2023-12-13,4,699.99,2799.96,Completed,South,Premium
O00180,C2498,P007,Monitor,2024-11-23,5,299.99,1499.95,Completed,West,Premium
O00181,C2862,P009,Speaker,2023-09-28,1,199.99,199.99,Cancelled,East,Basic
O00182,C3764,P006,Mouse,2024-01-26,1,29.99,29.99,Pending,West,Premium
O00183,C4748,P009,Speaker,2024-09-26,3,199.99,599.97,Pending,North,Basic
O00184,C1477,P005,Keyboard,2024-04-20,4,79.99,319.96,Pending,North,Premium
O00185,C1398,P008,Webcam,2023-11-08,1,89.99,89.99,Pending,Central,Premium
O00186,C3746,P008,Webcam,2024-02-02,3,89.99,269.97,Refunded,Central,Basic
O00187,C4414,P007,Monitor,2023-06-08,1,299.99,299.99,Refunded,Central,Standard
O00188,C1889,P001,Laptop,2023-10-14,3,999.99,2999.97,Refunded,West,Premium
O00189,C3230,P002,Smartphone,2024-01-07,3,699.99,2099.97,Cancelled,North,Standard
O00190,C4887,P004,Headphones,2023-10-10,1,149.99,149.99,Refunded,North,Basic
O00191,C1207,P010,Charger,2023-08-06,1,49.99,49.99,Cancelled,South,Premium
O00192,C4398,P004,Headphones,2024-08-01,1,149.99,149.99,Pending,Central,Premium
O00193,C4230,P006,Mouse,2023-08-27,2,29.99,59.98,Completed,East,Premium
O00194,C4270,P009,Speaker,2023-05-14,3,199.99,599.97,Pending,North,Basic
O00195,C2467,P003,Tablet,2023-01-27,1,399.99,399.99,Pending,Central,Standard
O00196,C1214,P003,Tablet,2023-01-17,3,399.99,1199.97,Pending,West,Basic
O00197,C2836,P002,Smartphone,2023-04-27,4,699.99,2799.96,Cancelled,Central,Basic
O00198,C1907,P008,Webcam,2023-04-22,5,89.99,449.95,Completed,Central,Standard
O00199,C2961,P001,Laptop,2024-04-14,1,999.99,999.99,Refunded,West,Basic
O00200,C1301,P008,Webcam,2023-04-21,4,89.99,359.96,Completed,East,Basic
O00201,C2126,P002,Smartphone,2023-06-01,2,699.99,1399.98,Cancelled,West,Basic
O00202,C3070,P005,Keyboard,2024-06-27,4,79.99,319.96,Refunded,North,Basic
O00203,C2761,P009,Speaker,2023-04-28,2,199.99,399.98,Refunded,South,Standard
O00204,C2703,P008,Webcam,2023-12-14,4,89.99,359.96,Completed,East,Standard
O00205,C4905,P005,Keyboard,2023-11-17,3,79.99,239.97,Pending,West,Premium
O00206,C2768,P002,Smartphone,2023-04-04,1,699.99,699.99,Completed,East,Premium
O00207,C4918,P001,Laptop,2024-07-23,5,999.99,4999.95,Cancelled,North,Standard
O00208,C4966,P007,Monitor,2023-12-29,1,299.99,299.99,Cancelled,Central,Standard
O00209,C3078,P002,Smartphone,2023-12-27,5,699.99,3499.95,Pending,South,Basic
O00210,C2434,P004,Headphones,2024-05-08,1,149.99,149.99,Cancelled,North,Standard
O00211,C4461,P004,Headphones,2024-08-10,4,149.99,599.96,Completed,Central,Basic
O00212,C1738,P005,Keyboard,2024-12-11,1,79.99,79.99,Cancelled,East,Standard
O00213,C4562,P001,Laptop,2023-12-26,2,999.99,1999.98,Pending,Central,Basic
O00214,C4035,P002,Smartphone,2024-02-15,2,699.99,1399.98,Completed,North,Basic
O00215,C2719,P004,Headphones,2024-06-27,4,149.99,599.96,Refunded,East,Premium
O00216,C4181,P005,Keyboard,2024-01-14,3,79.99,239.97,Completed,North,Premium
O00217,C3760,P010,Charger,2023-06-11,1,49.99,49.99,Completed,East,Standard
O00218,C3486,P007,Monitor,2024-11-08,4,299.99,1199.96,Refunded,West,Standard
O00219,C2413,P009,Speaker,2023-08-09,1,199.99,199.99,Refunded,North,Standard
O00220,C3158,P010,Charger,2024-11-25,4,49.99,199.96,Cancelled,North,Premium
O00221,C1031,P010,Charger,2024-02-09,1,49.99,49.99,Pending,East,Premium
O00222,C2343,P005,Keyboard,2023-05-21,3,79.99,239.97,Completed,North,Standard
O00223,C2557,P003,Tablet,2024-03-16,2,399.99,799.98,Pending,Central,Basic
O00224,C2626,P006,Mouse,2024-11-15,1,29.99,29.99,Completed,West,Premium
O00225,C3358,P002,Smartphone,2024-04-15,3,699.99,2099.97,Refunded,Central,Standard
O00226,C1471,P007,Monitor,2024-12-27,3,299.99,899.97,Refunded,North,Standard
O00227,C4407,P010,Charger,2023-06-25,4,49.99,199.96,Cancelled,North,Standard
O00228,C3412,P004,Headphones,2023-04-19,4,149.99,599.96,Refunded,Central,Premium
O00229,C1907,P005,Keyboard,2024-02-10,3,79.99,239.97,Cancelled,South,Premium
O00230,C3088,P002,Smartphone,2024-06-06,5,699.99,3499.95,Pending,East,Standard
O00231,C1421,P003,Tablet,2024-10-22,2,399.99,799.98,Pending,East,Premium
O00232,C4113,P010,Charger,2023-06-27,2,49.99,99.98,Completed,South,Basic
O00233,C4112,P008,Webcam,2024-05-20,5,89.99,449.95,Refunded,Central,Basic
O00234,C4539,P010,Charger,2024-10-12,3,49.99,149.97,Cancelled,South,Standard
O00235,C3586,P008,Webcam,2023-03-11,4,89.99,359.96,Cancelled,East,Basic
O00236,C1303,P006,Mouse,2023-02-27,5,29.99,149.95,Cancelled,West,Standard
O00237,C4406,P001,Laptop,2023-02-08,3,999.99,2999.97,Cancelled,North,Basic
O00238,C3076,P010,Charger,2023-04-03,5,49.99,249.95,Refunded,West,Basic
O00239,C4723,P001,Laptop,2024-07-21,4,999.99,3999.96,Pending,East,Basic
O00240,C4922,P009,Speaker,2024-05-02,2,199.99,399.98,Completed,West,Premium
O00241,C3646,P002,Smartphone,2023-12-18,5,699.99,3499.95,Pending,North,Premium
O00242,C3146,P008,Webcam,2024-12-25,4,89.99,359.96,Pending,East,Standard
O00243,C4172,P007,Monitor,2023-10-17,4,299.99,1199.96,Cancelled,Central,Premium
O00244,C2350,P006,Mouse,2024-10-08,1,29.99,29.99,Completed,Central,Basic
O00245,C3964,P005,Keyboard,2024-01-31,3,79.99,239.97,Pending,East,Premium
O00246,C2270,P003,Tablet,2024-08-19,3,399.99,1199.97,Refunded,South,Basic
O00247,C3289,P002,Smartphone,2024-12-26,3,699.99,2099.97,Refunded,East,Premium
O00248,C3646,P009,Speaker,2024-11-17,1,199.99,199.99,Refunded,Central,Standard
O00249,C1738,P006,Mouse,2023-01-19,3,29.99,89.97,Pending,East,Standard
O00250,C1634,P004,Headphones,2023-07-16,2,149.99,299.98,Completed,East,Premium
O00251,C1154,P009,Speaker,2024-06-03,5,199.99,999.95,Cancelled,Central,Premium
O00252,C1664,P007,Monitor,2024-09-03,2,299.99,599.98,Pending,Central,Premium
O00253,C2492,P001,Laptop,2024-03-24,4,999.99,3999.96,Pending,West,Basic
O00254,C3187,P008,Webcam,2023-10-19,2,89.99,179.98,Pending,East,Standard
O00255,C2804,P006,Mouse,2023-07-18,5,29.99,149.95,Refunded,East,Standard
O00256,C4957,P009,Speaker,2024-05-29,4,199.99,799.96,Pending,South,Basic
O00257,C3626,P005,Keyboard,2023-05-22,1,79.99,79.99,Refunded,East,Basic
O00258,C2167,P009,Speaker,2023-04-16,1,199.99,199.99,Completed,South,Standard
O00259,C4403,P009,Speaker,2024-04-05,2,199.99,399.98,Refunded,North,Premium
O00260,C2699,P006,Mouse,2024-04-06,1,29.99,29.99,Completed,West,Basic
O00261,C1334,P004,Headphones,2024-01-18,4,149.99,599.96,Cancelled,South,Premium
O00262,C4241,P002,Smartphone,2023-11-23,3,699.99,2099.97,Pending,South,Premium
O00263,C4108,P008,Webcam,2023-10-21,2,89.99,179.98,Refunded,West,Basic
O00264,C2048,P002,Smartphone,2023-01-06,1,699.99,699.99,Pending,South,Basic
O00265,C1455,P009,Speaker,2024-09-15,4,199.99,799.96,Cancelled,South,Standard
O00266,C2719,P001,Laptop,2023-05-05,2,999.99,1999.98,Refunded,North,Premium
O00267,C1067,P010,Charger,2024-05-26,5,49.99,249.95,Pending,South,Standard
O00268,C2445,P001,Laptop,2024-03-15,5,999.99,4999.95,Pending,Central,Standard
O00269,C4992,P002,Smartphone,2023-07-11,5,699.99,3499.95,Cancelled,North,Basic
O00270,C3269,P009,Speaker,2024-07-11,5,199.99,999.95,Completed,West,Standard
O00271,C2038,P007,Monitor,2023-02-14,3,299.99,899.97,Completed,East,Premium
O00272,C4160,P004,Headphones,2023-12-20,1,149.99,149.99,Cancelled,South,Premium
O00273,C4332,P009,Speaker,2023-12-27,3,199.99,599.97,Pending,West,Basic
O00274,C1258,P003,Tablet,2024-05-05,2,399.99,799.98,Refunded,North,Standard
O00275,C4628,P001,Laptop,2023-07-26,2,999.99,1999.98,Completed,East,Standard
O00276,C2939,P007,Monitor,2024-06-11,5,299.99,1499.95,Cancelled,North,Basic
O00277,C4531,P005,Keyboard,2023-07-15,3,79.99,239.97,Completed,East,Standard
O00278,C4643,P006,Mouse,2023-05-08,4,29.99,119.96,Refunded,West,Standard
O00279,C3834,P003,Tablet,2023-12-14,4,399.99,1599.96,Refunded,East,Basic
O00280,C1323,P002,Smartphone,2023-10-01,4,699.99,2799.96,Refunded,Central,Premium
O00281,C1420,P005,Keyboard,2024-07-12,3,79.99,239.97,Completed,East,Basic
O00282,C3468,P005,Keyboard,2023-10-30,4,79.99,319.96,Refunded,South,Basic
O00283,C1173,P006,Mouse,2024-03-30,4,29.99,119.96,Cancelled,Central,Standard
O00284,C3749,P001,Laptop,2023-10-09,1,999.99,999.99,Refunded,East,Basic
O00285,C1584,P003,Tablet,2024-11-26,1,399.99,399.99,Refunded,North,Premium
O00286,C2483,P004,Headphones,2023-03-10,3,149.99,449.97,Refunded,Central,Premium
O00287,C4886,P003,Tablet,2024-09-11,4,399.99,1599.96,Cancelled,East,Standard
O00288,C3168,P010,Charger,2023-03-20,2,49.99,99.98,Cancelled,West,Standard
O00289,C4934,P005,Keyboard,2024-10-27,2,79.99,159.98,Completed,North,Basic
O00290,C2585,P008,Webcam,2023-07-10,5,89.99,449.95,Completed,East,Standard
O00291,C3506,P008,Webcam,2024-12-21,2,89.99,179.98,Cancelled,West,Premium
O00292,C2851,P003,Tablet,2023-05-06,1,399.99,399.99,Pending,West,Premium
O00293,C3906,P006,Mouse,2024-11-29,3,29.99,89.97,Completed,Central,Basic
O00294,C3915,P005,Keyboard,2023-10-25,2,79.99,159.98,Pending,East,Basic
O00295,C4244,P002,Smartphone,2023-08-18,2,699.99,1399.98,Pending,South,Standard
O00296,C3344,P006,Mouse,2023-01-27,5,29.99,149.95,Cancelled,West,Basic
O00297,C1269,P010,Charger,2023-05-13,1,49.99,49.99,Cancelled,West,Basic
O00298,C4150,P009,Speaker,2024-05-05,4,199.99,799.96,Refunded,Central,Premium
O00299,C2843,P006,Mouse,2023-05-09,1,29.99,29.99,Refunded,Central,Standard
O00300,C1745,P009,Speaker,2023-05-12,5,199.99,999.95,Pending,West,Basic
O00301,C1626,P002,Smartphone,2023-02-26,5,699.99,3499.95,Cancelled,South,Premium
O00302,C4880,P004,Headphones,2023-11-27,3,149.99,449.97,Cancelled,North,Standard
O00303,C1512,P009,Speaker,2023-07-21,3,199.99,599.97,Cancelled,Central,Basic
O00304,C3424,P009,Speaker,2023-04-06,2,199.99,399.98,Pending,South,Basic
O00305,C4451,P010,Charger,2024-10-01,3,49.99,149.97,Completed,North,Premium
O00306,C3667,P010,Charger,2023-02-16,3,49.99,149.97,Pending,Central,Standard
O00307,C4641,P001,Laptop,2024-09-24,4,999.99,3999.96,Cancelled,East,Standard
O00308,C2857,P007,Monitor,2023-09-08,3,299.99,899.97,Completed,North,Premium
O00309,C2902,P007,Monitor,2024-03-26,4,299.99,1199.96,Pending,East,Basic
O00310,C4007,P006,Mouse,2023-05-28,3,29.99,89.97,Cancelled,West,Premium
O00311,C1434,P009,Speaker,2024-01-15,5,199.99,999.95,Cancelled,South,Standard
O00312,C2015,P005,Keyboard,2023-05-06,4,79.99,319.96,Pending,North,Premium
O00313,C2712,P007,Monitor,2023-10-25,5,299.99,1499.95,Pending,South,Standard
